"Clean Plaintiff","Plaintiff Type","2010","2011","2012","2013","2014"
"Muir Manor Apts.;","Misc","1","0","0","0","0"
"Magnolia Health Systems Dba Lakeview Manor; Magnolia Health Systems Dba Summitplace West; ","Misc","0","1","0","0","0"
"Eagle Finance Coll Ass Cardinal Accounts; Eagle Lake Landing; Runaway Bay Apartments By Collection Assignee Cardinal Accts Inc; ","Misc","0","0","1","0","0"
"Griffey; Suburban Court Apartments;","Misc","0","0","1","0","0"
"Brownsburg Comm School Corp;","Government","35","0","0","39","14"
"Wilkinson Asset Management as managing agent for Cheswick Village Apartments; Woods; ","Misc","0","0","1","0","0"
"Schuler Bauer Real Estate;","Misc","1","0","0","0","0"
"New Wave Property Services;","Misc","0","1","0","0","2"
"Zidan Management Group, Inc, as managing agent for Country Lake Apartments; ","Misc","1","0","0","0","0"
"Ridgefield Property Owners Association Inc;","Misc","0","1","0","0","0"
"J&amp;W  Real Estate Fund 1, LLC; ","Misc","0","0","0","0","1"
"City View On Meridian Apartments; ","Misc","11","3","3","0","0"
"Tac Properties Llc; ","Misc","0","0","0","1","0"
"AJP REAL ESTATE GROUP LLC;","Misc","6","4","10","10","1"
"Advanced Debt Collection, Inc.; J &amp; K Properties; ","Misc","0","0","1","1","0"
"Property Level Management; ","Misc","0","0","1","0","0"
"Atrium Village Apartments; PFS, As Collection Asignee For Medtech College; ","Misc","0","0","1","0","0"
"MAPLEWOODS PROPERTY;","Misc","0","0","0","3","1"
"MIDWEST PROPERTY VENTURES, LLC;","Misc","0","0","0","1","0"
"Hillcrest Woods Apartments; ","Misc","11","3","0","0","0"
"CARE CENTER PC; DEL PILAR MEDICAL URGENT; ","Medical","0","0","0","0","1"
"Complete Real Estate Solutions LLC c/o Joanne McAnlis; ","Misc","4","0","0","0","0"
"Major League Properties Llc;","Misc","2","0","0","0","0"
"Chelsea Village Apartments; Simplicity Massage Studio LLC; ","Misc","0","0","0","0","1"
"Providence Real Estate;","Misc","0","1","0","0","3"
"IJK PROPERTIES, LLC; ","Misc","0","0","1","0","0"
"Nv Municipal Utilities;","Utility","27","3","0","0","0"
"Service Financial Company","Auto","237","61","385","284","80"
"Real Estate Alternative, LLC; ","Misc","0","0","0","0","1"
"Orchard Properties LLC assignee ProJuris, LLC; Orchard Properties, LLC Assignee ProJuris, LLC; ","Misc","0","1","0","0","0"
"Paragon Water Sewage Utility;","Utility","11","0","0","0","0"
"Athena Real Estate Services, LLC; ","Misc","0","2","0","21","49"
"VILLAGE GREEN APTS.;","Misc","0","1","0","0","0"
"Pedcor Management Corporation Agent for Owner Waterfront pointe Apartment By Col; ","Misc","1","0","0","0","0"
"UNION TOWNSHIP SCHOOL CORP;","Government","0","0","0","27","0"
"M. B. O. Property;","Misc","0","0","0","0","1"
"Buckingham Balmoral Apartments; ","Misc","1","0","0","0","0"
"Wilson Sr Properties LLC/Inc; ","Misc","0","0","1","0","0"
"Briergate Apt Dba Fonseca Properties Llc; ","Misc","0","1","0","0","0"
"Finke Group Real Estate; Finke; ","Misc","0","1","0","0","0"
"Comprehensive Imaging Associates And SAMC/Franciscan Physicians Network;","Medical","0","1","0","0","0"
"FOUR REASONS PROPERTY MANAGEME;","Misc","0","0","1","0","0"
"Arbor Village Homeowners Assn Inc; ","Misc","0","0","2","2","0"
"PRAIRIE RIDGE PROPERTIES LLC;","Misc","4","2","0","0","0"
"Meridian Hills North Apartment; ","Misc","1","0","0","0","0"
"Real Property Sales; ","Misc","0","1","0","0","0"
"TW Properties / Todd Thompson; ","Misc","0","0","0","1","0"
"Her-Mutt Properties;","Misc","0","0","1","0","0"
"Lexington Square Apartments;","Misc","0","11","10","21","35"
"Morgan Investment Properties, Inc; ","Misc","0","0","0","1","0"
"21 EAST APARTMENTS; CORTES;","Misc","0","0","0","0","1"
"Meeks Properties, LLC; ","Misc","0","2","0","0","0"
"Tri-State Medical Group, LLC;","Medical","0","0","0","0","1"
"Mad Anthony Property Mgmt/Joe's Homes;","Misc","0","0","0","0","1"
"MAGNA PROPERTIES OWNER OF STRAFORD APTS; ","Misc","1","0","0","0","0"
"Lakeview Court Apartments;","Misc","14","37","27","38","36"
"City Of Bloomington;","Government","2","2","2","1","0"
"Fall Creek Apartments LLC; ","Misc","1","0","0","0","0"
"SB Property Management;","Misc","0","0","0","0","2"
"Vine Properties, LLC; ","Misc","0","0","0","0","2"
"Sheridan Apartments 6241 LLC; ","Misc","0","1","0","0","0"
"Chapel Hill Apartments by Collection Assignee Cardinal Accounts Inc.; Chapel Hill Apartments; ","Misc","0","0","6","2","0"
"Indy City Property Mangement LLC; ","Misc","0","0","1","0","0"
"Jstlooken  Properties LLC; ","Misc","0","0","0","0","1"
"TGM mngn Shadeland Station Apartments; ","Misc","0","0","4","0","0"
"Briergate Apts. dba Fonseca Properties LLC.; ","Misc","7","2","0","0","0"
"City of Hartford City;","Government","41","51","0","0","0"
"Peoples Space Properties LLc;","Misc","0","0","0","1","0"
"Property X Llc;","Misc","0","0","0","1","1"
"City of Anderson Department of Community Development;","Government","0","0","0","0","1"
"Jackson County Schneck Memorial Hospital d/b/a Schneck Medical Center; ","Medical","1","0","0","0","0"
"BARNES PROPERTY / BARB GETTY; ","Misc","1","0","0","0","0"
"Evanston Properties Llc; ","Misc","2","0","0","0","0"
"Northgate Village Cooperative, Inc.;","Misc","0","0","0","3","5"
"CITY OF PORTAGE;","Government","57","1","50","153","0"
"West Family Properties;","Misc","0","1","0","0","0"
"HUNTER &amp; HUBLAR PROPERTIES; ","Misc","0","0","2","0","0"
"Major League Properties;","Misc","0","0","0","1","2"
"Weston Village Apartments; ","Misc","11","1","3","1","1"
"US Real Estate Holding LLC; ","Misc","0","0","0","1","0"
"Cape Cod Village HOA, Inc.; ","Misc","0","3","2","0","2"
"Landmark-Boulders of Indianapolis, LTD, LP d/b/a Landmark Apartments; ","Misc","0","0","0","10","11"
"KLINE PROPERTIES  INC; ","Misc","1","0","0","0","0"
"Park Properties Inc, DBA Alexandria MHP;","Misc","0","0","0","0","1"
"Cobalt Property Management LLC; ","Misc","0","0","0","1","0"
"Lpm Properties By Managing Agt;","Misc","2","0","0","0","0"
"D nad M Property Management; ","Misc","0","0","0","0","1"
"Marion Park Forest Apartments Llc;","Misc","0","1","0","2","0"
"Homework Property Services,Inc;","Misc","0","0","1","0","0"
"Prime Properties of Elkhart, LLC;","Misc","0","0","1","0","0"
"Utility Trailers Of Indianapolis INC; ","Utility","0","1","1","0","0"
"SOUTH BNED COMMUNITY SCHOOL;","Government","0","1","0","0","0"
"Brighton Park Apartment by Cardinal accts; Brighton Park Apartments; ","Misc","8","0","0","0","0"
"Arlika, LLC d/b/a Fairview Court Apartments;","Misc","0","0","0","0","3"
"Beckford Place Apartments Dba; Marion Housing Authority;","Misc","0","0","2","0","0"
"Wellington Village Apts Dba Fonseca Apartments; ","Misc","0","1","0","3","0"
"Indycity Property Mgmt; ","Misc","0","0","1","0","0"
"MKH COMMERCIAL PROPERTIES LLC;","Misc","0","0","0","0","1"
"Culver School;","Government","2","0","2","0","0"
"Reflection Apartments; ","Misc","16","2","0","1","0"
"Wininger Real Estate LLC;","Misc","0","0","0","0","2"
"Herman&amp;Kittle Properties Inc mngn Canterbury House Apts; ","Misc","0","0","0","0","6"
"Zidan Management Group Inc for Waterstone Place Apartments; ","Misc","0","0","3","0","0"
"Axiom Property Management; Mariners Village Apartments; ","Misc","0","0","0","0","1"
"CONSTITUTION GARDENS; Vision Property Solutions; ","Misc","0","0","1","0","0"
"Bramwell; Morgan Properties;","Misc","1","0","0","0","0"
"Estates at Crystal Bay Apartments; Hawkins; ","Misc","1","0","0","0","0"
"West Haven Commons HOA Inc; ","Misc","0","0","3","0","0"
"Flaherty &amp; Collins Properties as Managing Agent for Village at Hillside;","Misc","0","0","0","0","1"
"PROPERTIES OF VALUE LLC;","Misc","1","1","0","0","0"
"Benjamin Court Apartments; ","Misc","0","0","1","0","0"
"Villages of Cobblestone HOA Inc; ","Misc","2","3","1","0","0"
"RLB Realty, LLC; Van Rooy Properties; ","Misc","0","0","0","1","0"
"AY Indiana Real Estate Promoting, LLC; ","Misc","0","0","2","0","0"
"Charlestown Property Holdings LLC;","Misc","0","0","7","2","1"
"Arrowwoods Apartments; Sherman Forest Apartments; ","Misc","0","0","0","0","1"
"Advanced Debt Collection, Inc.; Suzie Heath/Heath Properties; ","Misc","0","0","1","0","0"
"Hartland Real Estate Inc;","Misc","1","0","0","0","0"
"Kiymar Properties LLC; ","Misc","0","0","1","2","0"
"VALPARAISO CITYUTILITIES;","Utility","9","0","4","0","0"
"ST ANTHONY MEDICALCENTER;","Medical","0","4","6","1","0"
"South Haven Village; ","Misc","8","3","4","3","1"
"Blinn; Kee Properties LLC;","Misc","0","0","1","3","0"
"Pearson Place Senior Apartments;","Misc","0","2","0","0","0"
"Premier Real Estate Investment;","Misc","4","2","4","2","0"
"LCM Property Group, Lisa Mcknight; ","Misc","0","0","0","0","1"
"Marten Property Dvlpmnt DBA Mngn Lawrence Crossing Apts; ","Misc","0","0","0","0","3"
"East Village at Avondale Meadows; ","Misc","0","0","3","0","0"
"Sunrise Properties Group, Inc.;","Misc","0","0","0","1","0"
"Herman &amp; Kittle Properties, Inc. as managing agent for the owner of Landings at 56th; ","Misc","0","0","0","0","7"
"THE COMMONS AT WYNNE FARMS BY MANAGING AGENT HERMAN &amp; KITTLE PROPERTIES, INC.;","Misc","0","0","0","0","2"
"Progressive Property Corporation; ","Misc","0","0","1","1","0"
"MEADOW MANOR;","Misc","0","0","0","0","1"
"CITY OF GARY FIREDEPARTMENT;","Government","0","3","1","2","0"
"Maps Real Estate Mgmt LLC;","Misc","0","1","0","0","2"
"Hilltop Village Apartments;","Misc","0","0","3","0","0"
"3P Properties;","Misc","0","0","0","0","3"
"Village Apartments Of Fortville Iii; ","Misc","8","4","11","1","2"
"Exceed Properties, LLC;","Misc","0","0","0","1","0"
"Maxwell Investment Properties; ","Misc","1","0","0","0","0"
"Eastway Court Apartments; ","Misc","15","15","17","26","23"
"Charlestown Property Holding LLC;","Misc","0","0","0","1","0"
"SHULT PROPERTIES.LLC.;","Misc","0","0","0","1","0"
"Bayhead Village By Collection Assignee Cardinal Accts Inc; Bayhead Village; Suncrest Apts; ","Misc","0","3","0","0","0"
"B &amp; D Properties Llc.;","Misc","0","0","0","1","0"
"Indy City Property Mgt. LLC; ","Misc","0","1","0","0","0"
"Matheis Properties LLC; ","Misc","0","0","0","1","0"
"Becovic Management as managing agent for owner of Autumn Trails Apartment Homes; ","Misc","0","0","0","2","0"
"Valve Real Estate Holdings; ","Misc","0","2","0","0","0"
"LAKESIDE AT WALNUT HILLD APARTMENTS;","Misc","0","0","1","0","0"
"Curtco Credit Corp","Auto","0","0","1","0","102"
"Axiom  Property Investments LLC by Advanced Debt Collection Inc; Axiom  Property Investments; ","Misc","0","1","0","0","0"
"N.A.C Properties;","Misc","0","0","0","0","1"
"Wilkinson Asset. Management for Cheswick Village Apartments; ","Misc","25","0","0","0","0"
"Broad Ripple Trials Apartments; ","Misc","1","1","0","0","0"
"T&amp;S Rental Properties; ","Misc","2","1","1","1","1"
"Countywide Property Management;","Misc","0","1","0","0","0"
"Atalissa Properties, Inc;","Misc","0","0","0","0","1"
"Stevick Properties Llc;","Misc","1","0","0","0","0"
"St. Andrews Apartment                          ;","Misc","0","0","1","0","0"
"Tes Properties Llc;","Misc","72","99","86","77","19"
"Preston Pointe Apartments;","Misc","0","0","0","16","26"
"Beech Meadow Apartments; ","Misc","0","1","1","0","1"
"Southwind Apartments;","Misc","0","0","1","0","0"
"Pegasus Properties, Inc.;","Misc","0","2","1","1","0"
"Recovery Solutions Inc as Assignee of Pendleton Municipal Utilities;","Utility","1","0","0","0","0"
"Van Roy Properties; ","Misc","0","1","0","0","0"
"CENTRAL HIGH APARTMENTS LLC; ","Misc","0","0","0","1","0"
"DSM Properties, LLC; ","Misc","0","0","2","3","6"
"S&amp;T Properties LLc; ","Misc","0","1","0","0","0"
"SHULT PROPERTIES;","Misc","0","1","3","1","0"
"PRAIRIE RIDGE PROPERTIES, LLC;","Misc","0","1","0","0","1"
"VALPARAISO COMMUNITY SCHOOLS;","Government","15","2","0","0","0"
"G T Properties;","Misc","1","1","0","1","0"
"Brigadire Apartments; ","Misc","1","1","2","0","0"
"Briergate Apartments dba Fonseca Properties, LLC; ","Misc","0","8","0","0","11"
"Scheumann Properties Llc;","Misc","2","9","1","0","0"
"Home Real Estate Investments;","Misc","1","3","0","0","0"
"D J Lanahan Property Mgmt; ","Misc","1","0","0","0","0"
"Town Of West College Corner;","Government","1","0","0","0","0"
"South Towne Square Apartments;","Misc","0","0","1","0","0"
"Aspen Village Apartments; ","Misc","1","8","9","33","27"
"Heather Ridge Apartments","Misc","153","205","244","242","333"
"Capital Alliance Financial LLC; Island Club Apartments; ","Misc","0","0","1","0","0"
"Keystone Prop Mgmt of IN, LLC, By:  Advanced Debt Collection, Inc.; Keystone Property Mgmt of Indiana LLC; ","Misc","0","0","1","0","0"
"Value Real Estate Holding, LLC; ","Misc","0","0","0","2","1"
"VILLAGES  AT DRAKE LANDING; ","Misc","1","0","0","0","0"
"Richland Township Fire Dept c/o Special Services;","Government","0","4","0","0","0"
"Forum Credit Union","Misc Lender","34","149","220","205","309"
"Dorfman Property Managment; ","Misc","4","5","1","3","4"
"FRANKLINN PROPERTIES, INC.; ","Misc","0","0","0","1","0"
"Helmsing &amp; Randol Properties;","Misc","2","0","0","0","0"
"Discover Properties PMG, LLP as agent for Naomi Salpeter; ","Misc","0","0","2","1","0"
"UNION TOWNSHIP    SCHOOL      CORPORATION;","Government","0","0","0","0","31"
"Jack Norton/ Real Estate Norton; ","Misc","0","0","1","0","0"
"Rent-to-Own Properties; ","Misc","0","0","1","0","0"
"Liebtag; Woodridge Apartments LLC; ","Misc","0","0","1","0","0"
"PROFESSIONAL MEDICAL INC; ","Medical","0","0","0","1","0"
"Southcrest Mobile Home Manor;","Misc","3","4","0","0","0"
"Lifetime Properties, Inc.; ","Misc","2","7","6","13","21"
"JAAK Properties, LLC; ","Misc","0","0","0","0","1"
"MARINERS  VILLAGE APTS; ","Misc","3","8","0","0","0"
"Fike Real Estate By:  Advanced Debt Collection, Inc.; Fike Real Estate; ","Misc","0","0","1","0","0"
"Collection Associates","Collection Agency","2044","1802","2079","2465","2372"
"V W Properties Llc; ","Misc","2","0","0","0","0"
"Central Property LLC;","Misc","0","0","0","1","0"
"P.R.Properties;","Misc","0","1","1","0","0"
"In Property Management Llc Vs Kerry                         ;","Misc","0","0","0","0","1"
"Idlewood Apartments Homes; ","Misc","0","0","0","2","1"
"Van Rooy Properties owner of Shadeland Terrance; ","Misc","26","0","0","0","0"
"Pinnacle Properties Development Goup;","Misc","19","0","0","0","0"
"Priceless Properties; ","Misc","0","0","0","1","0"
"Lemons Dba; Lemons Rental Properties;","Misc","1","0","0","0","0"
"Lakewood Lodge Apartments; Reverie Estates LLC; ","Misc","1","0","0","0","0"
"Investment Properties LLC;","Misc","0","0","0","1","0"
"Heritage Apartments;","Misc","32","10","14","17","27"
"Fallwood Apartments; Lakeside Pointe At Nora Apartments; ","Misc","0","0","0","0","1"
"Campus Apartments; ","Misc","0","0","0","1","0"
"Arbor Village Homeowners Association Inc; ","Misc","0","0","0","3","0"
"A.Y. Indiana Real Estate Promoting Llc; ","Misc","0","3","12","9","6"
"TR Property Management Llc; ","Misc","1","0","0","0","0"
"COMMUNITY HEALTHCARE SYSTEM D/B/A ST MARY MEDICAL CENTER, COMMUNITY HOSPITAL ANESTESIA GROUP;","Medical","0","0","0","0","1"
"Lakeview Apartments;","Misc","1","1","0","0","1"
"Metropolitan Property &amp; Casual;","Misc","0","0","0","1","0"
"Chapel Hill Apartments; International Village by Collection Assignee Cardinal Accounts Inc.; ","Misc","0","0","0","0","1"
"M/A Management Corp.d/b/a Runaway Bay Apartments;","Misc","0","0","0","0","1"
"Carmel Real Estate Mgt Co;","Misc","1","0","0","0","0"
"Complete  Real Estate Solutions LLC; ","Misc","2","0","3","2","5"
"THE WOODS @OAK CROSSING / GREYSTONE PROPERTY; ","Misc","13","0","0","0","0"
"Radiologic Assc. Of Nw In, Inc;","Medical","0","2","0","0","0"
"Red Oak Properties &amp; Investments, LLC DBA Tamarack MHP;","Misc","0","0","0","1","0"
"Harrington Team Real Estate; ","Misc","0","0","6","1","1"
"Gardenview Apartments;","Misc","0","0","0","1","0"
"Center Point Apartments Homes; Idlewood Apartments; ","Misc","0","1","0","0","0"
"Silver Property Management, Inc. as agent for Silver Property Managment, Inc.; ","Misc","0","1","1","0","0"
"Altai Properties LLC; ","Misc","0","0","0","0","1"
"The Village at Flatrock Apts.;","Misc","0","0","1","0","1"
"Wilkinson Asset Management as managing agent for Cheswick Village Apartments; ","Misc","0","0","30","0","0"
"Nora Commons Apartments; ","Misc","2","0","0","0","0"
"Vinson; Woodridge Apartments; ","Misc","0","0","1","0","0"
"Village Woods Hoa Inc/Eads; ","Misc","0","1","0","0","0"
"Apadana Properties;","Misc","1","0","0","0","0"
"T.w. Thom Properties;","Misc","1","0","0","0","0"
"Comprehensive Imaging;","Medical","1","0","0","0","0"
"Heathmoore Apartments;","Misc","0","0","0","1","3"
"Abs Properties Llc;","Misc","0","0","0","1","0"
"Pediatric Surgical Association; ","Medical","1","0","0","0","0"
"EFNEYONSON HOUSE C/O THE REAL ESTATE ALTERNATIVE, LLC; ","Misc","0","1","0","0","0"
"Panegea Groves Apartments; ","Misc","0","0","0","0","4"
"Maple Lane Village;","Misc","0","0","1","1","0"
"Green Properties; ","Misc","0","0","0","0","1"
"Mcnalley Properties Inc;","Misc","1","0","0","0","0"
"MAGNETIC REAONANCE IMAGING;","Medical","0","1","0","0","0"
"Meadow Drive Apartments Llc                          ;","Misc","0","0","0","2","0"
"Villages At Grassy Creek Hoa Inc.                          ;","Misc","1","0","0","0","0"
"Vision Property Solutions; ","Misc","0","5","71","129","138"
"Graber Properties LLC;","Misc","0","0","0","0","1"
"H&amp;H Property Investments                          ;","Misc","0","0","0","0","1"
"GEORGETOWN APARTMENT HOMES;","Misc","0","0","0","0","24"
"Washington Town Regional Sewage District;","Government","2","0","0","0","0"
"Fishers Pediatric Dentristy; ","Medical","0","1","0","0","0"
"1002 Properties, Inc; ","Misc","1","0","0","0","0"
"K &amp; R Medical Repair Inc; ","Medical","3","0","0","0","0"
"Greystone Property Management; ","Misc","2","0","0","0","0"
"Avon Village;","Misc","7","1","0","0","0"
"Eagle Finance Coll Ass Cardinal Accounts; Eagle Lake Landing Apartments by Collection Assignee Cardinal Accounts Inc; ","Misc","0","0","1","9","0"
"Dunewood Village Mobile Home;","Misc","0","0","0","0","1"
"Eisaman Roemmich Property Mgmt;","Misc","0","0","3","0","0"
"Ashford At Keystone Apartment Homes; ","Misc","0","0","0","0","1"
"Complete Property Care;","Misc","2","1","9","14","2"
"NORTHFIELD COMMONS, LLC; ","Misc","0","0","1","0","0"
"N Vernon Municipal Utilities;","Utility","34","0","0","0","0"
"Estates At Crystal Bay Apartments; ","Misc","194","305","0","0","0"
"Eagle Lake Landing Apartments by Collection Assignee Cardinal Accounts Inc; ","Misc","0","0","33","65","0"
"CENTER - PLYMOUTH; SAINT JOSEPH REGIONAL MEDICAL; ","Medical","0","0","0","0","1"
"CD Investment Properties I LLC;","Misc","0","1","0","0","0"
"Ellettsville Apartments;","Misc","0","1","0","0","0"
"Wilkinson Asset. Management as Managing Agent for Cheswick Village Apts; ","Misc","6","0","0","0","0"
"Eagle Valley Farms Coutnry Villagehomeownersassociati; ","Misc","1","0","0","0","0"
"Water Tower Place Apartments;","Misc","1","2","0","0","2"
"New Wave Property SVC;","Misc","0","0","0","2","0"
"JRK Residential America LLC Mgt Agent for Churchill Ranch Apartments; ","Misc","0","0","5","0","0"
"Suncrest Apartments, LLC; ","Misc","0","1","0","0","0"
"Meadows At Green Tree Apartments;","Misc","0","1","0","0","0"
"Vision Property Solutions; Waterfront Pointe Apartments; ","Misc","0","0","0","0","1"
"Towne Properties Asset Management Company agent for Kingston Square Apartments; ","Misc","0","0","0","0","66"
"Foxhill Manor Coopeartive; ","Misc","4","0","0","0","0"
"Village Green Management Company D/B/A North Park;","Misc","0","0","0","2","0"
"WJM PROPERTY MANAGEMENT;","Misc","4","5","12","24","25"
"International Village by Collection Assignee Cardinal Accounts Inc.; ","Misc","1","0","0","0","0"
"Indianapolis Real Estate Co.; ","Misc","1","0","0","0","0"
"Fisher Apartments LLC; ","Misc","0","0","0","0","2"
"Villa Paree Apartments by Cardinal Accounts, Inc; Villa Paree Apartments by cardinal accts; ","Misc","2","0","0","0","0"
"REAL PROPERTY SOLUTIONS LLC;","Misc","0","1","0","1","0"
"DAMADA APARTMENTS;","Misc","0","6","4","0","0"
"Cambridge Fox Run Apartments; ","Misc","0","35","56","11","0"
"Hampton Court Apartments; ","Misc","46","30","17","9","17"
"Summit Circle Properties, LLC;","Misc","0","0","0","0","2"
"Advanced Debt Collection Inc; Kingsley Property Management, Inc.; ","Misc","6","2","0","1","0"
"Washington Village Apts; ","Misc","0","1","2","1","0"
"East Bank Village;","Misc","0","0","0","0","1"
"Goebel Properties D/B/A Golden Tower Apartments;","Misc","0","1","0","0","0"
"Discover Properties LLC mngn BLTREJV3 Indianapolis, LLC; ","Misc","0","0","0","0","1"
"Golfview Manor;","Misc","0","0","0","0","1"
"PROPERTY LIQUIDATORS, INC;","Misc","0","0","0","1","0"
"Cress; Jfc Property Mang;","Misc","0","1","0","0","0"
"Tarragon Property Group;","Misc","0","0","0","1","0"
"Rivers Edge Apartments Phase II LLC; ","Misc","0","0","1","0","0"
"Barrett &amp; Stokely Inc Dba Northpark Apartments;","Misc","0","1","0","0","0"
"Cold Springs Manor; ","Misc","1","0","1","0","0"
"Rivertown Properties Inc;","Misc","0","1","1","5","0"
"Benchmark Properties;","Misc","1","0","0","0","0"
"Silver Property Mgmt mngn Silver Property Management Inc; ","Misc","0","0","1","0","0"
"Franklin Vorth Village                          ;","Misc","0","0","0","1","0"
"SLC Property Management LLC; ","Misc","1","0","0","0","0"
"DOWNHOME PROPERTIES;","Misc","0","0","1","0","0"
"M. Todd Seif &amp; Edward Maher D/B/A Buckeye Properties; ","Misc","0","1","0","0","0"
"PROPERTY MGMT. SPECIALISTS LLC;","Misc","1","0","0","0","0"
"Meridian Real Estate, Llc; ","Misc","0","1","0","0","0"
"Red House Properteis; ","Misc","3","1","0","0","0"
"Sucha Properties; ","Misc","0","0","1","0","0"
"Foxhill Manor Cooperative; Sheppard; ","Misc","0","0","1","0","0"
"Crosswind Commons HOA;","Misc","0","0","0","1","0"
"Gallagher Properties;","Misc","1","1","0","0","0"
"PARK JEFFERSON APARTMENTS\;","Misc","0","0","0","0","1"
"R.W. Miller Real Estate;","Misc","0","0","0","0","1"
"Pebble Brook Garden Apartments;","Misc","0","0","0","0","1"
"Wiley Properties;","Misc","3","2","0","1","1"
"Barton Farms Apartments                          ;","Misc","0","1","0","0","0"
"Timberside Properties                          ;","Misc","0","0","0","0","1"
"Kensington Commons HOA, Inc.; ","Misc","0","1","0","12","0"
"City of Fort Wayne Utilities","Utility","0","198","753","861","916"
"Foster Park Apartments;","Misc","0","0","1","1","0"
"Stonebridge Apartments; ","Misc","0","0","0","1","1"
"SOUTH BEND HERITAGE PROPERTIES;","Misc","0","0","0","2","0"
"Logansport Communtiy School Corp;","Government","0","0","0","0","1"
"M &amp; M PROPERTY    MANAGEMENT;","Misc","0","1","0","0","0"
"ARBOR GLEN APARTMENT HOUSE;","Misc","0","0","1","0","0"
"Klp Properties;","Misc","2","0","0","0","0"
"ERIN REAL ESTATE INC.;","Misc","0","2","2","2","3"
"KLINE PROPERTIES, INC; Warburton; ","Misc","4","0","0","0","0"
"Orloff Property Management In As Managing Agent For The Owner Of Parkhaven Apart; ","Misc","2","0","1","2","0"
"Sycamore Village IGA;","Misc","0","0","1","0","0"
"Ricci Properties Llc; ","Misc","1","0","0","0","0"
"FLAHERTY COLLINS PROPERTIES as managing agent for the  owner of WESTLAKE APTS; ","Misc","0","25","0","0","0"
"HAMPTON PARK APARTMENT;","Misc","0","0","0","1","0"
"Hetland Properties LLC; ","Misc","0","0","2","3","1"
"Courtyards @ Roselawn Park; The Orchard Apartments c/o McKinley, Inc.; ","Misc","0","1","0","0","0"
"Canterbury Green Apartments LLC;","Misc","0","0","0","0","22"
"ADVANCED DEBT COLLECTION, INC; Keystone Property Management Of Indiana, LLC; ","Misc","0","1","0","1","0"
"JONES APARTMENTS;","Misc","0","0","0","0","1"
"Pedcor Management Corp Management Agent For Delaware Trace Apartments;","Misc","0","0","0","0","1"
"Blue River Properties Inc.;","Misc","0","1","2","0","0"
"DBC Property Mgmt Inc; ","Misc","0","0","0","1","0"
"Center Point Apartment Home; ","Misc","0","16","8","0","0"
"Ulman Properties, LLC;","Misc","0","0","0","1","14"
"BERSOT VILLAGE COMMUNITY ASSOCIATION INC;","Misc","0","0","0","1","0"
"Historic Marcy Village by Cardinal Accounts, Inc; Historic Marcy Village; ","Misc","0","1","0","0","0"
"Consolidated Lots LLC-Broadway Park Apartments;","Misc","0","0","1","0","0"
"Governor Winthrop Apartments; ","Misc","12","11","15","12","0"
"FLAHERTY  COLLINS PROPERTIES as managing agent for WESTLAKE APTS; ","Misc","1","0","0","0","0"
"Three Rivers Medical Center                          ;","Medical","0","0","0","0","1"
"Stratford  Apartments; ","Misc","2","0","1","0","0"
"Bello Properties;","Misc","0","0","0","5","1"
"KRUG CO PROPERTIES;","Misc","0","1","0","0","0"
"Jackson Properties; ","Misc","0","0","0","0","1"
"Cardinal Real Estate LLC; ","Misc","0","0","0","2","0"
"Zidan Management Group, Inc.as managing agent for the owner of Marina Apartment; ","Misc","0","7","0","0","0"
"Manor;","Misc","2","0","1","2","1"
"Stonecrest Apartments;","Misc","1","2","1","3","2"
"City of Greenwood","Government","138","62","3","80","326"
"Secure Real Estate Group; ","Misc","4","14","27","1","0"
"Hidden Oak Estates Apartments; Woods at Oak Crossing Apartments; ","Misc","0","0","12","3","0"
"Center for Pain Management; Northside Anesthesia Services LLC;","Medical","0","0","0","0","1"
"White River Village Llc;","Misc","23","0","0","0","0"
"Dupont Real Estate Inc;","Misc","1","0","0","0","0"
"First Franklin Property, LLC. mngn First Franklin Prop LLC; ","Misc","0","0","1","0","0"
"Mapleton Properties; ","Misc","0","11","12","11","11"
"Vincent Properties, Llc;","Misc","3","1","1","1","1"
"Broad Ripple Trails; Dogwood Glen Apartments; ","Misc","1","0","0","0","0"
"Western Manor Apartments;","Misc","0","0","0","0","5"
"Michigan Apartments GenNx; ","Misc","0","7","0","0","0"
"Country View Apartments;","Misc","12","23","37","21","16"
"ICEM LLC; IMC Credit Services LLC assignee of Medical Associates LLP; Indiana Physicians Management LLC;","Medical","0","0","0","1","0"
"Renaissance Property Management; ","Misc","0","15","7","4","6"
"Bridgepoint  Apartment;","Misc","0","0","0","1","0"
"Rei Property &amp; Management Co; ","Misc","0","0","1","0","0"
"Pension Properties LLC; ","Misc","0","0","1","0","0"
"American Homes 4Rent (as Succesor as interest to First Service Residential Realty); American Homes 4Rent Properties Ten, LLC; ","Misc","0","0","0","0","1"
"Reisert Properties;","Misc","0","0","1","0","0"
"Village Green Mgmt Comp own The Grand Reserve at Geist; ","Misc","0","2","1","0","0"
"AVA Mmgt mngn Oaktree Apartments; ","Misc","0","0","8","0","0"
"Park Hoover Village Condominium Association, Inc.; ","Misc","0","0","0","0","3"
"Property Maintenance Services;","Misc","0","0","0","0","1"
"Property  Managment Group;","Misc","0","0","1","0","0"
"Miller Valentine Communities as managing agent for Walnut Ridge Apartments; ","Misc","0","1","0","0","0"
"Hetland Property LLC; ","Misc","0","0","0","1","0"
